"index","label","AP","n-predictions","BER","n-instances","n-correct","%-correct","n-true-pos","n-est-pos-correct","pD","n-est-pos-wrong","n-true-neg","n-est-neg-correct","n-est-neg-wrong","FPR","FNR"
0,animals,0.17542,2000,0.49718,2000,1334,0.66700,345,87,0.25217,408,1655,1247,258,0.24653,0.74783
1,baby,0.01591,2000,0.56034,2000,276,0.13800,28,21,0.75000,1717,1972,255,7,0.87069,0.25000
2,bird,0.04181,2000,0.52679,2000,1457,0.72850,82,16,0.19512,477,1918,1441,66,0.24870,0.80488
3,car,0.01319,2000,0.53463,2000,1766,0.88300,28,1,0.03571,207,1972,1765,27,0.10497,0.96429
4,clouds,0.09499,2000,0.51689,2000,1507,0.75350,185,28,0.15135,336,1815,1479,157,0.18512,0.84865
5,dog,0.05692,2000,0.48746,2000,1699,0.84950,74,11,0.14865,238,1926,1688,63,0.12357,0.85135
6,female,0.19865,2000,0.49656,2000,1111,0.55550,415,172,0.41446,646,1585,939,243,0.40757,0.58554
7,flower,0.09519,2000,0.51048,2000,1562,0.78100,199,25,0.12563,264,1801,1537,174,0.14659,0.87437
8,food,0.07548,2000,0.49327,2000,1645,0.82250,146,20,0.13699,229,1854,1625,126,0.12352,0.86301
9,indoor,0.51364,2000,0.45592,2000,1088,0.54400,981,538,0.54842,469,1019,550,443,0.46026,0.45158
10,lake,0.03015,2000,0.50757,2000,1746,0.87300,56,5,0.08929,203,1944,1741,51,0.10442,0.91071
11,male,0.22511,2000,0.49172,2000,1223,0.61150,437,142,0.32494,482,1563,1081,295,0.30838,0.67506
12,night,0.09040,2000,0.48600,2000,1497,0.74850,168,39,0.23214,374,1832,1458,129,0.20415,0.76786
13,people,0.41805,2000,0.46812,2000,1088,0.54400,784,373,0.47577,501,1216,715,411,0.41201,0.52423
14,plant_life,0.37697,2000,0.49449,2000,1106,0.55300,685,243,0.35474,452,1315,863,442,0.34373,0.64526
15,portrait,0.16691,2000,0.48721,2000,1264,0.63200,332,111,0.33434,515,1668,1153,221,0.30875,0.66566
16,river,0.02623,2000,0.51668,2000,1812,0.90600,57,2,0.03509,133,1943,1810,55,0.06845,0.96491
17,sea,0.04478,2000,0.50553,2000,1483,0.74150,100,22,0.22000,439,1900,1461,78,0.23105,0.78000
18,sky,0.16521,2000,0.53680,2000,1124,0.56200,373,114,0.30563,617,1627,1010,259,0.37923,0.69437
20,sunset,0.05021,2000,0.51098,2000,1650,0.82500,106,12,0.11321,256,1894,1638,94,0.13516,0.88679
21,transport,0.05280,2000,0.49514,2000,1567,0.78350,116,22,0.18966,339,1884,1545,94,0.17994,0.81034
22,tree,0.14931,2000,0.47854,2000,1364,0.68200,282,84,0.29787,438,1718,1280,198,0.25495,0.70213
23,water,0.10415,2000,0.53020,2000,1364,0.68200,233,45,0.19313,448,1767,1319,188,0.25354,0.80687
