"index","label","AP","n-predictions","BER","n-instances","n-correct","%-correct","n-true-pos","n-est-pos-correct","pD","n-est-pos-wrong","n-true-neg","n-est-neg-correct","n-est-neg-wrong","FPR","FNR" 
0,animals,0.74933,2000,0.19915,2000,1618,0.80900,345,272,0.78841,309,1655,1346,73,0.18671,0.21159
1,baby,0.25835,2000,0.25235,2000,1213,0.60650,28,25,0.89286,784,1972,1188,3,0.39757,0.10714
2,bird,0.76395,2000,0.16734,2000,1582,0.79100,82,72,0.87805,408,1918,1510,10,0.21272,0.12195
3,car,0.36571,2000,0.27833,2000,1180,0.59000,28,24,0.85714,816,1972,1156,4,0.41379,0.14286
4,clouds,0.56637,2000,0.23315,2000,1603,0.80150,185,134,0.72432,346,1815,1469,51,0.19063,0.27568
5,dog,0.82604,2000,0.19994,2000,1380,0.69000,74,68,0.91892,614,1926,1312,6,0.31880,0.08108
6,female,0.50183,2000,0.32016,2000,1470,0.73500,415,243,0.58554,358,1585,1227,172,0.22587,0.41446
7,flower,0.66830,2000,0.21134,2000,1601,0.80050,199,154,0.77387,354,1801,1447,45,0.19656,0.22613
8,food,0.63958,2000,0.24233,2000,1546,0.77300,146,108,0.73973,416,1854,1438,38,0.22438,0.26027
9,indoor,0.77925,2000,0.26687,2000,1467,0.73350,981,700,0.71356,252,1019,767,281,0.24730,0.28644
10,lake,0.26767,2000,0.24776,2000,1475,0.73750,56,43,0.76786,512,1944,1432,13,0.26337,0.23214
11,male,0.41627,2000,0.33655,2000,1404,0.70200,437,260,0.59497,419,1563,1144,177,0.26807,0.40503
12,night,0.23773,2000,0.34955,2000,1472,0.73600,168,92,0.54762,452,1832,1380,76,0.24672,0.45238
13,people,0.76535,2000,0.25385,2000,1500,0.75000,784,571,0.72832,287,1216,929,213,0.23602,0.27168
14,plant_life,0.67520,2000,0.31593,2000,1411,0.70550,685,422,0.61606,326,1315,989,263,0.24791,0.38394
15,portrait,0.53556,2000,0.26209,2000,1516,0.75800,332,235,0.70783,387,1668,1281,97,0.23201,0.29217
16,river,0.25974,2000,0.30857,2000,1595,0.79750,57,33,0.57895,381,1943,1562,24,0.19609,0.42105
17,sea,0.42246,2000,0.23842,2000,1598,0.79900,100,72,0.72000,374,1900,1526,28,0.19684,0.28000
18,sky,0.67244,2000,0.24641,2000,1568,0.78400,373,263,0.70509,322,1627,1305,110,0.19791,0.29491
20,sunset,0.48387,2000,0.22299,2000,1577,0.78850,106,81,0.76415,398,1894,1496,25,0.21014,0.23585
21,transport,0.33921,2000,0.25517,2000,1511,0.75550,116,85,0.73276,458,1884,1426,31,0.24310,0.26724
22,tree,0.46838,2000,0.30629,2000,1523,0.76150,282,169,0.59929,364,1718,1354,113,0.21187,0.40071
23,water,0.56870,2000,0.22919,2000,1618,0.80900,233,168,0.72103,317,1767,1450,65,0.17940,0.27897
